date,hour,timezone,isEvent,isHoliday
2024-12-14,21,PST,0,0
2024-12-14,22,PST,0,0
2024-12-14,23,PST,0,0
2024-12-15,00,PST,0,0
2024-12-15,01,PST,0,0
2024-12-15,02,PST,0,0
2024-12-15,03,PST,0,0
2024-12-15,04,PST,0,0
2024-12-15,05,PST,0,0
2024-12-15,06,PST,0,0
2024-12-15,07,PST,0,0
2024-12-15,08,PST,0,0
2024-12-15,09,PST,0,0
2024-12-15,10,PST,0,0
2024-12-15,11,PST,0,0
2024-12-15,12,PST,0,0
2024-12-15,13,PST,0,0
2024-12-15,14,PST,0,0
2024-12-15,15,PST,0,0
2024-12-15,16,PST,0,0
2024-12-15,17,PST,0,0
2024-12-15,18,PST,0,0
2024-12-15,19,PST,0,0
2024-12-15,20,PST,0,0
2024-12-15,21,PST,0,0
2024-12-15,22,PST,0,0
2024-12-15,23,PST,0,0
2024-12-16,00,PST,0,0
2024-12-16,01,PST,0,0
2024-12-16,02,PST,0,0
2024-12-16,03,PST,0,0
2024-12-16,04,PST,0,0
2024-12-16,05,PST,0,0
2024-12-16,06,PST,0,0
2024-12-16,07,PST,0,0
2024-12-16,08,PST,0,0
2024-12-16,09,PST,0,0
2024-12-16,10,PST,0,0
2024-12-16,11,PST,0,0
2024-12-16,12,PST,0,0
2024-12-16,13,PST,0,0
2024-12-16,14,PST,0,0
2024-12-16,15,PST,0,0
2024-12-16,16,PST,0,0
2024-12-16,17,PST,0,0
2024-12-16,18,PST,0,0
2024-12-16,19,PST,0,0
2024-12-16,20,PST,0,0
2024-12-16,21,PST,0,0
2024-12-16,22,PST,0,0
2024-12-16,23,PST,0,0
2024-12-17,00,PST,0,0
2024-12-17,01,PST,0,0
2024-12-17,02,PST,0,0
2024-12-17,03,PST,0,0
2024-12-17,04,PST,0,0
2024-12-17,05,PST,0,0
2024-12-17,06,PST,0,0
2024-12-17,07,PST,0,0
2024-12-17,08,PST,0,0
2024-12-17,09,PST,0,0
2024-12-17,10,PST,0,0
2024-12-17,11,PST,0,0
2024-12-17,12,PST,0,0
2024-12-17,13,PST,0,0
2024-12-17,14,PST,0,0
2024-12-17,15,PST,0,0
2024-12-17,16,PST,0,0
2024-12-17,17,PST,0,0
2024-12-17,18,PST,0,0
2024-12-17,19,PST,0,0
2024-12-17,20,PST,0,0
2024-12-17,21,PST,0,0
2024-12-17,22,PST,0,0
2024-12-17,23,PST,0,0
2024-12-18,00,PST,0,0
2024-12-18,01,PST,0,0
2024-12-18,02,PST,0,0
2024-12-18,03,PST,0,0
2024-12-18,04,PST,0,0
2024-12-18,05,PST,0,0
2024-12-18,06,PST,0,0
2024-12-18,07,PST,0,0
2024-12-18,08,PST,0,0
2024-12-18,09,PST,0,0
2024-12-18,10,PST,0,0
2024-12-18,11,PST,0,0
2024-12-18,12,PST,0,0
2024-12-18,13,PST,0,0
2024-12-18,14,PST,0,0
2024-12-18,15,PST,0,0
2024-12-18,16,PST,0,0
2024-12-18,17,PST,0,0
2024-12-18,18,PST,0,0
2024-12-18,19,PST,0,0
2024-12-18,20,PST,0,0
2024-12-18,21,PST,0,0
2024-12-18,22,PST,0,0
2024-12-18,23,PST,0,0
2024-12-19,00,PST,0,0
2024-12-19,01,PST,0,0
2024-12-19,02,PST,0,0
2024-12-19,03,PST,0,0
2024-12-19,04,PST,0,0
2024-12-19,05,PST,0,0
2024-12-19,06,PST,0,0
2024-12-19,07,PST,0,0
2024-12-19,08,PST,0,0
2024-12-19,09,PST,0,0
2024-12-19,10,PST,0,0
2024-12-19,11,PST,0,0
2024-12-19,12,PST,0,0
2024-12-19,13,PST,0,0
2024-12-19,14,PST,0,0
2024-12-19,15,PST,0,0
2024-12-19,16,PST,0,0
2024-12-19,17,PST,0,0
2024-12-19,18,PST,0,0
2024-12-19,19,PST,0,0
2024-12-19,20,PST,0,0
2024-12-19,21,PST,0,0
2024-12-19,22,PST,0,0
2024-12-19,23,PST,0,0
2024-12-20,00,PST,0,0
2024-12-20,01,PST,0,0
2024-12-20,02,PST,0,0
2024-12-20,03,PST,0,0
2024-12-20,04,PST,0,0
2024-12-20,05,PST,0,0
2024-12-20,06,PST,0,0
2024-12-20,07,PST,0,0
2024-12-20,08,PST,0,0
2024-12-20,09,PST,0,0
2024-12-20,10,PST,0,0
2024-12-20,11,PST,0,0
2024-12-20,12,PST,0,0
2024-12-20,13,PST,0,0
2024-12-20,14,PST,0,0
2024-12-20,15,PST,0,0
2024-12-20,16,PST,0,0
2024-12-20,17,PST,0,0
2024-12-20,18,PST,0,0
2024-12-20,19,PST,0,0
2024-12-20,20,PST,0,0
2024-12-20,21,PST,0,0
2024-12-20,22,PST,0,0
2024-12-20,23,PST,0,0
2024-12-21,00,PST,0,0
2024-12-21,01,PST,0,0
2024-12-21,02,PST,0,0
2024-12-21,03,PST,0,0
2024-12-21,04,PST,0,0
2024-12-21,05,PST,0,0
2024-12-21,06,PST,0,0
2024-12-21,07,PST,0,0
2024-12-21,08,PST,0,0
2024-12-21,09,PST,0,0
2024-12-21,10,PST,0,0
2024-12-21,11,PST,0,0
2024-12-21,12,PST,0,0
2024-12-21,13,PST,0,0
2024-12-21,14,PST,0,0
2024-12-21,15,PST,0,0
2024-12-21,16,PST,0,0
2024-12-21,17,PST,0,0
2024-12-21,18,PST,0,0
2024-12-21,19,PST,0,0
2024-12-21,20,PST,0,0
2024-12-21,21,PST,0,0
2024-12-21,22,PST,0,0
2024-12-21,23,PST,0,0
2024-12-22,00,PST,0,0
2024-12-22,01,PST,0,0
2024-12-22,02,PST,0,0
2024-12-22,03,PST,0,0
2024-12-22,04,PST,0,0
2024-12-22,05,PST,0,0
2024-12-22,06,PST,0,0
2024-12-22,07,PST,0,0
2024-12-22,08,PST,0,0
2024-12-22,09,PST,0,0
2024-12-22,10,PST,0,0
2024-12-22,11,PST,0,0
2024-12-22,12,PST,0,0
2024-12-22,13,PST,0,0
2024-12-22,14,PST,0,0
2024-12-22,15,PST,0,0
2024-12-22,16,PST,0,0
2024-12-22,17,PST,0,0
2024-12-22,18,PST,0,0
2024-12-22,19,PST,0,0
2024-12-22,20,PST,0,0
2024-12-22,21,PST,0,0
2024-12-22,22,PST,0,0
2024-12-22,23,PST,0,0
2024-12-23,00,PST,0,0
2024-12-23,01,PST,0,0
2024-12-23,02,PST,0,0
2024-12-23,03,PST,0,0
2024-12-23,04,PST,0,0
2024-12-23,05,PST,0,0
2024-12-23,06,PST,0,0
2024-12-23,07,PST,0,0
2024-12-23,08,PST,0,0
2024-12-23,09,PST,0,0
2024-12-23,10,PST,0,0
2024-12-23,11,PST,0,0
2024-12-23,12,PST,0,0
2024-12-23,13,PST,0,0
2024-12-23,14,PST,0,0
2024-12-23,15,PST,0,0
2024-12-23,16,PST,0,0
2024-12-23,17,PST,0,0
2024-12-23,18,PST,0,0
2024-12-23,19,PST,0,0
2024-12-23,20,PST,0,0
2024-12-23,21,PST,0,0
2024-12-23,22,PST,0,0
2024-12-23,23,PST,0,0
2024-12-24,00,PST,0,0
2024-12-24,01,PST,0,0
2024-12-24,02,PST,0,0
2024-12-24,03,PST,0,0
2024-12-24,04,PST,0,0
2024-12-24,05,PST,0,0
2024-12-24,06,PST,0,0
2024-12-24,07,PST,0,0
2024-12-24,08,PST,0,0
2024-12-24,09,PST,0,0
2024-12-24,10,PST,0,0
2024-12-24,11,PST,0,0
2024-12-24,12,PST,0,0
2024-12-24,13,PST,0,0
2024-12-24,14,PST,0,0
2024-12-24,15,PST,0,0
2024-12-24,16,PST,0,0
2024-12-24,17,PST,0,0
2024-12-24,18,PST,1,0
2024-12-24,19,PST,1,0
2024-12-24,20,PST,1,0
2024-12-24,21,PST,1,0
2024-12-24,22,PST,1,0
2024-12-24,23,PST,1,0
2024-12-25,00,PST,0,1
2024-12-25,01,PST,0,1
2024-12-25,02,PST,0,1
2024-12-25,03,PST,0,1
2024-12-25,04,PST,0,1
2024-12-25,05,PST,0,1
2024-12-25,06,PST,0,1
2024-12-25,07,PST,0,1
2024-12-25,08,PST,0,1
2024-12-25,09,PST,0,1
2024-12-25,10,PST,0,1
2024-12-25,11,PST,0,1
2024-12-25,12,PST,0,1
2024-12-25,13,PST,0,1
2024-12-25,14,PST,0,1
2024-12-25,15,PST,0,1
2024-12-25,16,PST,0,1
2024-12-25,17,PST,0,1
2024-12-25,18,PST,0,1
2024-12-25,19,PST,0,1
2024-12-25,20,PST,0,1
2024-12-25,21,PST,0,1
2024-12-25,22,PST,0,1
2024-12-25,23,PST,0,1
2024-12-26,00,PST,0,0
2024-12-26,01,PST,0,0
2024-12-26,02,PST,0,0
2024-12-26,03,PST,0,0
2024-12-26,04,PST,0,0
2024-12-26,05,PST,0,0
2024-12-26,06,PST,0,0
2024-12-26,07,PST,0,0
2024-12-26,08,PST,0,0
2024-12-26,09,PST,0,0
2024-12-26,10,PST,1,0
2024-12-26,11,PST,1,0
2024-12-26,12,PST,1,0
2024-12-26,13,PST,1,0
2024-12-26,14,PST,1,0
2024-12-26,15,PST,1,0
2024-12-26,16,PST,1,0
2024-12-26,17,PST,1,0
2024-12-26,18,PST,1,0
2024-12-26,19,PST,1,0
2024-12-26,20,PST,1,0
2024-12-26,21,PST,1,0
2024-12-26,22,PST,1,0
2024-12-26,23,PST,1,0
2024-12-27,00,PST,0,0
2024-12-27,01,PST,0,0
2024-12-27,02,PST,0,0
2024-12-27,03,PST,0,0
2024-12-27,04,PST,0,0
2024-12-27,05,PST,0,0
2024-12-27,06,PST,0,0
2024-12-27,07,PST,0,0
2024-12-27,08,PST,0,0
