date,hour,timezone,temperature_feel_like,rain_1h,clouds_all,weather_Fog,weather_Rain,weather_Clouds,weather_Clear,weather_Snow,weather_Thunderstorm
2021-12-17,19,America/Vancouver,270.51,0.35,100.0,0,1,0,0,0,0
2021-12-17,20,America/Vancouver,268.57,0.61,75.0,1,1,0,0,1,0
2021-12-17,21,America/Vancouver,268.81,0.77,100.0,0,1,0,0,0,0
2021-12-18,11,America/Vancouver,274.73,4.13,100.0,0,1,0,0,0,0
2021-12-18,12,America/Vancouver,277.85,3.51,100.0,0,1,0,0,0,0
2021-12-18,13,America/Vancouver,274.82,1.78,75.0,0,1,0,0,0,0
2021-12-18,14,America/Vancouver,278.71,1.4,69.0,0,1,0,0,0,0
2021-12-18,15,America/Vancouver,276.39,0.28,20.0,0,1,0,0,0,0
2021-12-18,16,America/Vancouver,275.1,0.25,20.0,0,1,0,0,0,0
2021-12-18,17,America/Vancouver,273.85,0.0,75.0,0,0,1,0,0,0
2021-12-18,18,America/Vancouver,274.85,0.0,75.0,0,0,1,0,0,0
2021-12-18,19,America/Vancouver,277.74,0.0,23.0,0,0,1,0,0,0
2021-12-18,20,America/Vancouver,274.54,0.25,75.0,0,1,0,0,0,0
2021-12-18,21,America/Vancouver,273.04,0.42,75.0,0,1,0,0,0,0
2021-12-19,11,America/Vancouver,275.67,0.0,20.0,0,0,1,0,0,0
2021-12-19,12,America/Vancouver,276.73,0.0,20.0,0,0,1,0,0,0
2021-12-19,13,America/Vancouver,276.27,0.25,20.0,0,1,0,0,0,0
2021-12-19,14,America/Vancouver,276.06,0.0,20.0,0,0,1,0,0,0
2021-12-19,15,America/Vancouver,275.22,0.0,20.0,0,0,1,0,0,0
2021-12-19,16,America/Vancouver,273.9,0.0,20.0,0,0,1,0,0,0
2021-12-19,17,America/Vancouver,270.22,0.0,20.0,0,0,1,0,0,0
2021-12-19,18,America/Vancouver,271.52,0.0,0.0,0,0,0,1,0,0
2021-12-19,19,America/Vancouver,270.73,0.0,0.0,0,0,0,1,0,0
2021-12-19,20,America/Vancouver,271.84,0.0,0.0,0,0,0,1,0,0
2021-12-19,21,America/Vancouver,272.82,0.0,0.0,0,0,0,1,0,0
2021-12-20,11,America/Vancouver,271.22,0.0,20.0,0,0,0,0,1,0
2021-12-20,12,America/Vancouver,272.77,0.0,20.0,0,0,1,0,0,0
2021-12-20,13,America/Vancouver,272.99,0.0,20.0,0,0,1,0,0,0
2021-12-20,14,America/Vancouver,272.27,0.0,20.0,0,0,1,0,0,0
2021-12-20,15,America/Vancouver,272.98,0.0,20.0,0,0,1,0,0,0
2021-12-20,16,America/Vancouver,271.2,0.0,20.0,0,0,1,0,0,0
2021-12-20,17,America/Vancouver,269.83,0.0,20.0,0,0,1,0,0,0
2021-12-20,18,America/Vancouver,268.27,0.0,0.0,0,0,0,1,0,0
2021-12-20,19,America/Vancouver,267.59,0.0,0.0,0,0,0,1,0,0
2021-12-20,20,America/Vancouver,267.97,0.0,0.0,0,0,0,1,0,0
2021-12-20,21,America/Vancouver,268.21,0.0,0.0,0,0,0,1,0,0
2021-12-21,11,America/Vancouver,273.05,0.0,100.0,0,0,1,0,0,0
2021-12-21,12,America/Vancouver,271.8,0.0,100.0,0,0,1,0,0,0
2021-12-21,13,America/Vancouver,270.8,0.0,100.0,0,0,1,0,0,0
2021-12-21,14,America/Vancouver,270.23,0.0,100.0,0,0,0,0,1,0
2021-12-21,15,America/Vancouver,270.23,0.0,100.0,1,1,0,0,1,0
2021-12-21,16,America/Vancouver,270.08,0.0,100.0,1,1,0,0,1,0
2021-12-21,17,America/Vancouver,271.22,0.0,100.0,1,1,0,0,1,0
2021-12-21,18,America/Vancouver,270.83,0.0,100.0,1,1,0,0,1,0
2021-12-21,19,America/Vancouver,269.91,0.0,100.0,1,1,0,0,1,0
2021-12-21,20,America/Vancouver,268.35,0.0,100.0,1,1,0,0,1,0
2021-12-21,21,America/Vancouver,269.33,0.0,100.0,0,1,0,0,1,0
2021-12-22,11,America/Vancouver,277.61,0.65,75.0,0,1,0,0,0,0
2021-12-22,12,America/Vancouver,277.0,0.86,100.0,0,1,0,0,0,0
2021-12-22,13,America/Vancouver,277.46,0.84,100.0,0,1,0,0,0,0
2021-12-22,14,America/Vancouver,278.08,0.25,100.0,0,1,0,0,0,0
2021-12-22,15,America/Vancouver,277.87,0.35,100.0,0,1,0,0,0,0
2021-12-22,16,America/Vancouver,276.88,1.27,100.0,0,1,0,0,0,0
2021-12-22,17,America/Vancouver,276.16,0.38,100.0,0,1,0,0,0,0
2021-12-22,18,America/Vancouver,276.3,0.46,100.0,0,1,0,0,0,0
2021-12-22,19,America/Vancouver,275.8,0.25,75.0,0,1,0,0,0,0
2021-12-22,20,America/Vancouver,276.02,0.25,75.0,0,1,0,0,0,0
2021-12-22,21,America/Vancouver,277.66,1.27,100.0,0,1,0,0,0,0
2021-12-23,11,America/Vancouver,272.97,0.25,75.0,0,1,0,0,0,0
2021-12-23,12,America/Vancouver,272.95,0.0,75.0,0,0,1,0,0,0
2021-12-23,13,America/Vancouver,272.36,0.0,100.0,0,0,1,0,0,0
2021-12-23,14,America/Vancouver,272.44,0.0,100.0,0,0,1,0,0,0
2021-12-23,15,America/Vancouver,272.98,0.0,100.0,0,0,1,0,0,0
2021-12-23,16,America/Vancouver,273.02,0.0,100.0,0,0,1,0,0,0
2021-12-23,17,America/Vancouver,273.14,0.25,100.0,0,1,0,0,0,0
2021-12-23,18,America/Vancouver,272.26,0.0,100.0,0,0,1,0,0,0
2021-12-23,19,America/Vancouver,272.47,0.11,100.0,0,1,0,0,0,0
2021-12-23,20,America/Vancouver,273.64,0.0,100.0,0,0,1,0,0,0
2021-12-23,21,America/Vancouver,273.17,0.0,100.0,0,0,1,0,0,0
2021-12-24,11,America/Vancouver,270.42,0.91,100.0,0,1,0,0,0,0
2021-12-24,12,America/Vancouver,272.23,0.95,100.0,0,1,0,0,0,0
2021-12-24,13,America/Vancouver,273.02,0.77,100.0,0,1,0,0,0,0
2021-12-24,14,America/Vancouver,272.79,0.25,100.0,0,1,0,0,0,0
2021-12-24,15,America/Vancouver,272.51,0.32,100.0,0,1,0,0,0,0
2021-12-24,16,America/Vancouver,272.04,0.63,100.0,0,1,0,0,0,0
2021-12-24,17,America/Vancouver,271.99,0.25,100.0,0,1,0,0,0,0
2021-12-24,18,America/Vancouver,271.17,0.0,100.0,1,0,0,0,1,0
2021-12-24,19,America/Vancouver,270.75,0.0,100.0,0,0,0,0,1,0
2021-12-24,20,America/Vancouver,269.96,0.0,100.0,1,0,0,0,1,0
2021-12-24,21,America/Vancouver,270.91,0.0,100.0,0,0,0,0,1,0
2021-12-25,11,America/Vancouver,264.42,0.0,75.0,0,0,0,0,1,0
2021-12-25,12,America/Vancouver,264.75,0.0,75.0,0,0,0,0,1,0
2021-12-25,13,America/Vancouver,264.26,0.0,75.0,0,0,0,0,1,0
2021-12-25,14,America/Vancouver,263.81,0.0,40.0,0,0,0,0,1,0
2021-12-25,15,America/Vancouver,264.55,0.0,75.0,0,0,1,0,0,0
2021-12-25,16,America/Vancouver,263.47,0.0,75.0,0,0,1,0,0,0
2021-12-25,17,America/Vancouver,262.43,0.0,75.0,0,0,0,0,1,0
2021-12-25,18,America/Vancouver,262.93,0.0,75.0,0,0,0,0,1,0
2021-12-25,19,America/Vancouver,262.73,0.0,100.0,0,0,0,0,1,0
2021-12-25,20,America/Vancouver,263.59,0.0,100.0,0,0,0,0,1,0
2021-12-25,21,America/Vancouver,263.15,0.0,100.0,0,0,0,0,1,0
2021-12-26,11,America/Vancouver,261.84,0.0,75.0,0,0,1,0,0,0
2021-12-26,12,America/Vancouver,260.99,0.0,75.0,0,0,1,0,0,0
2021-12-26,13,America/Vancouver,260.66,0.0,75.0,0,0,1,0,0,0
2021-12-26,14,America/Vancouver,260.37,0.0,75.0,0,0,1,0,0,0
2021-12-26,15,America/Vancouver,261.22,0.0,75.0,0,0,1,0,0,0
2021-12-26,16,America/Vancouver,263.29,0.0,97.0,0,0,1,0,0,0
2021-12-26,17,America/Vancouver,259.45,0.0,75.0,0,0,1,0,0,0
2021-12-26,18,America/Vancouver,261.03,0.0,96.0,0,0,1,0,0,0
2021-12-26,19,America/Vancouver,258.77,0.0,20.0,0,0,1,0,0,0
2021-12-26,20,America/Vancouver,257.93,0.0,20.0,0,0,1,0,0,0
2021-12-26,21,America/Vancouver,258.05,0.0,75.0,0,0,1,0,0,0
2021-12-27,11,America/Vancouver,256.15,0.0,75.0,0,0,1,0,0,0
2021-12-27,12,America/Vancouver,256.81,0.0,75.0,0,0,1,0,0,0
2021-12-27,13,America/Vancouver,257.97,0.0,75.0,0,0,1,0,0,0
2021-12-27,14,America/Vancouver,258.23,0.0,75.0,0,0,1,0,0,0
2021-12-27,15,America/Vancouver,257.64,0.0,75.0,0,0,1,0,0,0
2021-12-27,16,America/Vancouver,257.13,0.0,100.0,0,0,1,0,0,0
2021-12-27,17,America/Vancouver,256.91,0.0,100.0,0,0,0,0,1,0
2021-12-27,18,America/Vancouver,256.75,0.0,100.0,0,0,0,0,1,0
2021-12-27,19,America/Vancouver,257.68,0.0,100.0,0,0,0,0,1,0
2021-12-27,20,America/Vancouver,257.21,0.0,100.0,0,0,0,0,1,0
2021-12-27,21,America/Vancouver,259.57,0.0,100.0,0,0,0,0,1,0
2021-12-28,11,America/Vancouver,267.89,0.0,89.0,0,0,1,0,0,0
2021-12-28,12,America/Vancouver,269.57,0.0,88.0,0,0,0,0,1,0
2021-12-28,13,America/Vancouver,268.73,0.0,84.0,0,0,0,0,1,0
2021-12-28,14,America/Vancouver,268.36,0.0,75.0,0,0,0,0,1,0
2021-12-28,15,America/Vancouver,270.2,0.0,75.0,0,0,0,0,1,0
2021-12-28,16,America/Vancouver,266.04,0.0,42.0,0,0,1,0,0,0
2021-12-28,17,America/Vancouver,264.43,0.0,75.0,0,0,1,0,0,0
2021-12-28,18,America/Vancouver,263.98,0.0,75.0,0,0,1,0,0,0
2021-12-28,19,America/Vancouver,264.04,0.0,100.0,0,0,1,0,0,0
2021-12-28,20,America/Vancouver,264.43,0.0,100.0,0,0,1,0,0,0
2021-12-28,21,America/Vancouver,264.95,0.0,100.0,0,0,1,0,0,0
2021-12-29,11,America/Vancouver,263.96,0.0,75.0,0,0,1,0,0,0
2021-12-29,12,America/Vancouver,265.33,0.0,100.0,0,0,0,0,1,0
2021-12-29,13,America/Vancouver,267.87,0.0,100.0,0,0,1,0,0,0
2021-12-29,14,America/Vancouver,265.45,0.0,75.0,0,0,1,0,0,0
2021-12-29,15,America/Vancouver,265.71,0.0,75.0,0,0,1,0,0,0
2021-12-29,16,America/Vancouver,263.93,0.0,75.0,0,0,1,0,0,0
2021-12-29,17,America/Vancouver,263.57,0.0,100.0,0,0,1,0,0,0
2021-12-29,18,America/Vancouver,262.77,0.0,75.0,0,0,1,0,0,0
2021-12-29,19,America/Vancouver,262.33,0.0,100.0,0,0,0,0,1,0
2021-12-29,20,America/Vancouver,262.6,0.0,100.0,0,0,0,0,1,0
2021-12-29,21,America/Vancouver,261.33,0.0,100.0,0,0,0,0,1,0
2021-12-30,11,America/Vancouver,268.86,0.0,40.0,0,0,1,0,0,0
2021-12-30,12,America/Vancouver,272.59,0.0,15.0,0,0,1,0,0,0
2021-12-30,13,America/Vancouver,267.33,0.0,40.0,0,0,0,0,1,0
2021-12-30,14,America/Vancouver,270.83,0.0,40.0,0,0,0,0,1,0
2021-12-30,15,America/Vancouver,270.4,0.0,40.0,0,0,0,0,1,0
2021-12-30,16,America/Vancouver,267.39,0.0,40.0,0,0,1,0,0,0
2021-12-30,17,America/Vancouver,268.48,0.0,40.0,0,0,0,0,1,0
2021-12-30,18,America/Vancouver,266.72,0.0,20.0,0,0,1,0,0,0
2021-12-30,19,America/Vancouver,263.86,0.0,20.0,0,0,1,0,0,0
2021-12-30,20,America/Vancouver,264.65,0.0,20.0,0,0,1,0,0,0
2021-12-30,21,America/Vancouver,264.08,0.0,20.0,0,0,1,0,0,0
2021-12-31,11,America/Vancouver,264.51,0.0,20.0,0,0,1,0,0,0
2021-12-31,12,America/Vancouver,268.76,0.0,3.0,0,0,0,0,1,0
2021-12-31,13,America/Vancouver,271.82,0.0,4.0,0,0,0,0,1,0
2021-12-31,14,America/Vancouver,269.69,0.0,89.0,0,0,1,0,0,0
2021-12-31,15,America/Vancouver,267.66,0.0,75.0,0,0,1,0,0,0
