year,date,hour,rain_1h,feels_like,clouds_all,Clear,Clouds,Fog,Rain,Snow
2024,2024-12-28,16,0.25,281.13,75,0,0,0,1,0
2024,2024-12-28,17,0.25,279.87,75,0,0,0,1,0
2024,2024-12-28,18,0.25,278.78,75,0,0,0,1,0
2024,2024-12-28,19,0.25,277.88,40,0,0,0,1,0
2024,2024-12-28,20,0.49,279.42,40,0,0,0,1,0
2024,2024-12-28,21,0.43,278.94,40,0,0,0,1,0
2024,2024-12-29,11,0.4,277.87,100,0,0,0,1,0
2024,2024-12-29,12,1.82,277.93,100,0,0,0,1,0
2024,2024-12-29,13,2.96,278.16,100,0,0,0,1,0
2024,2024-12-29,14,2.84,277.38,100,0,0,1,1,0
2024,2024-12-29,15,1.74,276.93,100,0,0,0,1,0
2024,2024-12-29,16,0.56,277.45,75,0,0,0,1,0
2024,2024-12-29,17,0.25,277.33,75,0,0,0,1,0
2024,2024-12-29,18,0.25,277.82,75,0,0,0,1,0
2024,2024-12-29,19,0.61,278.31,100,0,0,0,1,0
2024,2024-12-29,20,0.28,276.66,75,0,0,0,1,0
2024,2024-12-29,21,0.0,274.84,40,0,1,0,0,0
2024,2024-12-30,11,1.27,274.99,100,0,0,1,1,0
2024,2024-12-30,12,1.2,273.99,100,0,0,1,1,0
2024,2024-12-30,13,0.45,274.36,100,0,0,0,1,0
2024,2024-12-30,14,0.25,275.18,100,0,0,1,1,0
2024,2024-12-30,15,1.47,275.03,100,0,0,1,1,0
2024,2024-12-30,16,1.19,275.2,100,0,0,1,1,0
2024,2024-12-30,17,1.16,275.09,100,0,0,1,1,0
2024,2024-12-30,18,0.86,274.92,100,0,0,0,1,0
2024,2024-12-30,19,0.34,274.52,100,0,0,0,1,0
2024,2024-12-30,20,0.0,275.63,100,0,0,0,1,0
2024,2024-12-30,21,0.25,275.9,100,0,0,0,1,0
2024,2024-12-31,11,0.0,276.48,75,0,1,0,0,0
2024,2024-12-31,12,0.0,277.68,75,0,1,0,0,0
2024,2024-12-31,13,0.0,277.59,75,0,1,0,0,0
2024,2024-12-31,14,0.0,278.15,75,0,1,0,0,0
2024,2024-12-31,15,0.0,277.02,75,0,1,0,0,0
2024,2024-12-31,16,0.51,278.93,75,0,0,0,1,0
2024,2024-12-31,17,0.0,277.06,75,0,1,0,0,0
2024,2024-12-31,18,0.0,277.7,100,0,1,0,0,0
2024,2024-12-31,19,0.0,277.28,100,0,1,0,0,0
2024,2024-12-31,20,0.0,274.36,100,0,1,0,0,0
2024,2024-12-31,21,0.0,274.46,100,0,1,0,0,0
2025,2025-01-01,11,0.0,274.83,100,0,1,0,0,0
2025,2025-01-01,12,0.0,276.8,75,0,1,0,0,0
2025,2025-01-01,13,0.0,275.98,75,0,1,0,0,0
2025,2025-01-01,14,0.0,276.38,75,0,1,0,0,0
2025,2025-01-01,15,0.0,277.57,75,0,1,0,0,0
2025,2025-01-01,16,0.0,277.3,75,0,1,0,0,0
2025,2025-01-01,17,0.0,278.24,95,0,1,0,0,0
2025,2025-01-01,18,0.0,275.23,75,0,1,0,0,0
2025,2025-01-01,19,0.0,275.23,75,0,1,0,0,0
2025,2025-01-01,20,0.0,274.46,40,0,1,0,0,0
2025,2025-01-01,21,0.0,275.74,75,0,1,0,0,0
2025,2025-01-02,11,0.3,274.29,100,0,0,0,1,0
2025,2025-01-02,12,0.34,274.47,100,0,0,0,1,0
2025,2025-01-02,13,0.84,274.33,100,0,0,0,1,0
2025,2025-01-02,14,0.76,274.08,100,0,0,0,1,0
2025,2025-01-02,15,0.69,274.62,100,0,0,0,1,0
2025,2025-01-02,16,0.76,275.37,100,0,0,0,1,0
2025,2025-01-02,17,0.72,275.43,100,0,0,0,1,0
2025,2025-01-02,18,0.97,275.91,100,0,0,0,1,0
2025,2025-01-02,19,0.57,275.97,100,0,0,0,1,0
