date,hour,bill,pax,amount,amt_percentage,timezone_x,isEvent,isHoliday,year,tempreture,Clear,Clouds,Fog,Rain,timezone_y,isPromotion,day_of_week,month,Mon,Tue,Wed,Thu,Fri,Sat,Sun,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,rain_hour_11,clouds_hour_11,clear_hour_11,rain_hour_12,clouds_hour_12,clear_hour_12,rain_hour_13,clouds_hour_13,clear_hour_13,rain_hour_14,clouds_hour_14,clear_hour_14,rain_hour_15,clouds_hour_15,clear_hour_15,rain_hour_16,clouds_hour_16,clear_hour_16,rain_hour_17,clouds_hour_17,clear_hour_17,rain_hour_18,clouds_hour_18,clear_hour_18,rain_hour_19,clouds_hour_19,clear_hour_19,rain_hour_20,clouds_hour_20,clear_hour_20,rain_hour_21,clouds_hour_21,clear_hour_21,promotion_hour_11,promotion_hour_12,promotion_hour_13,promotion_hour_14,promotion_hour_15,promotion_hour_16,promotion_hour_17,promotion_hour_18,promotion_hour_19,promotion_hour_20,promotion_hour_21,holiday_hour_11,event_hour_11,holiday_hour_12,event_hour_12,holiday_hour_13,event_hour_13,holiday_hour_14,event_hour_14,holiday_hour_15,event_hour_15,holiday_hour_16,event_hour_16,holiday_hour_17,event_hour_17,holiday_hour_18,event_hour_18,holiday_hour_19,event_hour_19,holiday_hour_20,event_hour_20,holiday_hour_21,event_hour_21
2024-12-02,20,0,0,0.0,0.0,PST,0,0,2024.0,276.8,0.0,1.0,0.0,0.0,PST,0.0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-02,21,0,0,0.0,0.0,PST,0,0,2024.0,276.43,0.0,1.0,0.0,0.0,PST,0.0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-03,11,3,0,27.41,2.94,PST,0,0,2024.0,277.87,0.0,1.0,0.0,0.0,PST,0.0,1,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-03,12,5,0,109.06,11.7,PST,0,0,2024.0,280.11,0.0,1.0,0.0,0.0,PST,0.0,1,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-03,13,9,0,160.4,17.21,PST,0,0,2024.0,280.55,0.0,0.0,0.0,1.0,PST,0.0,1,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-03,14,10,0,120.27,12.91,PST,0,0,2024.0,280.85,0.0,1.0,0.0,0.0,PST,0.0,1,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-03,15,3,0,53.9,5.78,PST,0,0,2024.0,280.37,0.0,1.0,0.0,0.0,PST,0.0,1,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-03,16,4,0,59.92,6.43,PST,0,0,2024.0,280.55,0.0,1.0,0.0,0.0,PST,0.0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-03,17,6,0,71.46,7.67,PST,0,0,2024.0,277.66,0.0,0.0,0.0,1.0,PST,0.0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-03,18,13,0,146.37,15.71,PST,1,0,2024.0,277.94,1.0,0.0,0.0,0.0,PST,0.0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
