year,date,hour,rainfall,tempreture,Clear,Clouds,Fog,Rain
2024,2024-12-22,14,0.54,277.58,0,0,0,1
2024,2024-12-22,15,0.56,277.26,0,0,0,1
2024,2024-12-22,16,1.6,278.01,0,0,0,1
2024,2024-12-22,17,0.25,278.32,0,0,0,1
2024,2024-12-22,18,0.25,278.15,0,0,0,1
2024,2024-12-22,19,1.16,278.87,0,0,0,1
2024,2024-12-22,20,1.35,279.16,0,0,0,1
2024,2024-12-22,21,3.16,278.49,0,0,0,1
2024,2024-12-23,11,0.29,280.47,0,0,0,1
2024,2024-12-23,12,0.0,281.15,0,1,0,0
2024,2024-12-23,13,0.51,282.63,0,0,0,1
2024,2024-12-23,14,0.0,282.55,0,1,0,0
2024,2024-12-23,15,0.0,281.09,0,1,0,0
2024,2024-12-23,16,0.0,279.96,0,1,0,0
2024,2024-12-23,17,0.0,279.42,0,1,0,0
2024,2024-12-23,18,0.0,279.25,0,1,0,0
2024,2024-12-23,19,0.0,278.2,0,1,0,0
2024,2024-12-23,20,0.0,279.76,0,1,0,0
2024,2024-12-23,21,0.61,282.2,0,0,0,1
2024,2024-12-24,11,0.72,282.54,0,0,0,1
2024,2024-12-24,12,0.82,283.17,0,0,0,1
2024,2024-12-24,13,0.16,283.41,0,0,0,1
2024,2024-12-24,14,0.45,282.69,0,0,0,1
2024,2024-12-24,15,1.06,282.43,0,0,0,1
2024,2024-12-24,16,0.0,281.64,0,1,0,0
2024,2024-12-24,17,0.0,278.81,0,1,0,0
2024,2024-12-24,18,0.31,277.48,0,0,0,1
2024,2024-12-24,19,0.1,278.08,0,0,0,1
2024,2024-12-24,20,0.19,277.67,0,0,0,1
2024,2024-12-24,21,0.16,277.78,0,0,0,1
2024,2024-12-25,11,0.25,275.19,0,0,0,1
2024,2024-12-25,12,0.89,274.46,0,0,0,1
2024,2024-12-25,13,4.24,274.39,0,0,1,1
2024,2024-12-25,14,3.18,273.91,0,0,0,1
2024,2024-12-25,15,2.54,273.46,0,0,1,1
2024,2024-12-25,16,3.72,273.77,0,0,1,1
2024,2024-12-25,17,2.37,273.65,0,0,1,1
2024,2024-12-25,18,1.22,273.36,0,0,0,1
2024,2024-12-25,19,0.45,273.41,0,0,0,1
2024,2024-12-25,20,1.27,274.55,0,0,0,1
