date,hour,bill,pax,amount,amt_percentage
2025/02/20,07,0,0,0.0,0.0
2025/02/20,08,0,0,0.0,0.0
2025/02/20,09,0,0,0.0,0.0
2025/02/20,10,0,0,0.0,0.0
2025/02/20,11,4,0,203.82,17.99
2025/02/20,12,4,0,67.57,5.97
2025/02/20,13,11,0,116.84,10.31
2025/02/20,14,4,0,40.27,3.55
2025/02/20,15,10,0,134.37,11.86
2025/02/20,16,10,0,128.32,11.32
2025/02/20,17,15,0,218.05,19.24
2025/02/20,18,6,0,77.35,6.83
2025/02/20,19,4,0,89.48,7.9
2025/02/20,20,5,0,57.06,5.04
2025/02/20,21,0,0,0.0,0.0
2025/02/20,22,0,0,0.0,0.0
2025/02/20,23,0,0,0.0,0.0
2025/02/21,00,0,0,0.0,0.0
2025/02/21,01,0,0,0.0,0.0
2025/02/21,02,0,0,0.0,0.0
2025/02/21,03,0,0,0.0,0.0
2025/02/21,04,0,0,0.0,0.0
2025/02/21,05,0,0,0.0,0.0
2025/02/21,06,0,0,0.0,0.0
2025/02/21,07,0,0,0.0,0.0
2025/02/21,08,0,0,0.0,0.0
2025/02/21,09,0,0,0.0,0.0
2025/02/21,10,0,0,0.0,0.0
2025/02/21,11,6,0,47.59,4.32
2025/02/21,12,4,0,73.08,6.64
2025/02/21,13,6,0,71.88,6.53
2025/02/21,14,4,0,64.37,5.85
2025/02/21,15,7,0,100.06,9.09
2025/02/21,16,12,0,177.02,16.08
2025/02/21,17,13,0,118.63,10.78
2025/02/21,18,8,0,84.15,7.64
2025/02/21,19,11,0,203.89,18.52
2025/02/21,20,10,0,111.78,10.15
2025/02/21,21,7,0,48.44,4.4
2025/02/21,22,0,0,0.0,0.0
2025/02/21,23,0,0,0.0,0.0
2025/02/22,00,0,0,0.0,0.0
2025/02/22,01,0,0,0.0,0.0
2025/02/22,02,0,0,0.0,0.0
2025/02/22,03,0,0,0.0,0.0
2025/02/22,04,0,0,0.0,0.0
2025/02/22,05,0,0,0.0,0.0
2025/02/22,06,0,0,0.0,0.0
2025/02/22,07,0,0,0.0,0.0
2025/02/22,08,0,0,0.0,0.0
2025/02/22,09,0,0,0.0,0.0
2025/02/22,10,0,0,0.0,0.0
2025/02/22,11,3,0,37.3,2.86
2025/02/22,12,10,0,114.75,8.79
2025/02/22,13,4,0,47.1,3.61
2025/02/22,14,8,0,119.15,9.12
2025/02/22,15,15,0,163.8,12.54
2025/02/22,16,6,0,73.5,5.63
2025/02/22,17,12,0,169.66,12.99
2025/02/22,18,14,0,172.5,13.21
2025/02/22,19,15,0,152.83,11.7
2025/02/22,20,18,0,223.26,17.1
2025/02/22,21,2,0,31.94,2.45
2025/02/22,22,0,0,0.0,0.0
2025/02/22,23,0,0,0.0,0.0
2025/02/23,00,0,0,0.0,0.0
2025/02/23,01,0,0,0.0,0.0
2025/02/23,02,0,0,0.0,0.0
2025/02/23,03,0,0,0.0,0.0
2025/02/23,04,0,0,0.0,0.0
2025/02/23,05,0,0,0.0,0.0
2025/02/23,06,0,0,0.0,0.0
2025/02/23,07,0,0,0.0,0.0
2025/02/23,08,0,0,0.0,0.0
2025/02/23,09,0,0,0.0,0.0
2025/02/23,10,1,0,6.97,0.46
2025/02/23,11,2,0,23.76,1.56
2025/02/23,12,9,0,68.12,4.48
2025/02/23,13,15,0,187.5,12.32
2025/02/23,14,11,0,133.71,8.79
2025/02/23,15,18,0,208.32,13.69
2025/02/23,16,14,0,174.95,11.5
2025/02/23,17,14,0,184.42,12.12
2025/02/23,18,13,0,181.76,11.94
2025/02/23,19,11,0,144.27,9.48
2025/02/23,20,8,0,131.13,8.62
2025/02/23,21,6,0,69.14,4.54
2025/02/23,22,1,0,7.61,0.5
2025/02/23,23,0,0,0.0,0.0
2025/02/24,00,0,0,0.0,0.0
2025/02/24,01,0,0,0.0,0.0
2025/02/24,02,0,0,0.0,0.0
2025/02/24,03,0,0,0.0,0.0
2025/02/24,04,0,0,0.0,0.0
2025/02/24,05,0,0,0.0,0.0
2025/02/24,06,0,0,0.0,0.0
2025/02/24,07,0,0,0.0,0.0
2025/02/24,08,0,0,0.0,0.0
2025/02/24,09,0,0,0.0,0.0
2025/02/24,10,0,0,0.0,0.0
2025/02/24,11,5,0,54.33,8.41
2025/02/24,12,4,0,41.47,6.42
2025/02/24,13,5,0,66.34,10.26
2025/02/24,14,6,0,67.89,10.5
2025/02/24,15,8,0,92.29,14.28
2025/02/24,16,4,0,34.54,5.34
2025/02/24,17,2,0,19.3,2.99
2025/02/24,18,7,0,84.02,13.0
2025/02/24,19,13,0,131.06,20.28
2025/02/24,20,6,0,55.08,8.52
2025/02/24,21,0,0,0.0,0.0
2025/02/24,22,0,0,0.0,0.0
2025/02/24,23,0,0,0.0,0.0
2025/02/25,00,0,0,0.0,0.0
2025/02/25,01,0,0,0.0,0.0
2025/02/25,02,0,0,0.0,0.0
2025/02/25,03,0,0,0.0,0.0
2025/02/25,04,0,0,0.0,0.0
2025/02/25,05,0,0,0.0,0.0
2025/02/25,06,0,0,0.0,0.0
2025/02/25,07,0,0,0.0,0.0
2025/02/25,08,0,0,0.0,0.0
2025/02/25,09,0,0,0.0,0.0
2025/02/25,10,0,0,0.0,0.0
2025/02/25,11,7,0,146.18,12.47
