year,date,hour,rain_1h,feels_like,clouds_all,Clear,Clouds,Fog,Rain
2025,2025-02-20,14,0.25,278.87,100,0,0,0,1
2025,2025-02-20,15,0.12,279.22,100,0,0,0,1
2025,2025-02-20,16,0.0,279.52,100,0,1,0,0
2025,2025-02-20,17,0.25,279.88,95,0,0,0,1
2025,2025-02-20,18,0.3,277.63,100,0,0,0,1
2025,2025-02-20,19,0.25,277.63,100,0,0,0,1
2025,2025-02-20,20,0.34,277.27,100,0,0,0,1
2025,2025-02-20,21,0.3,277.43,100,0,0,0,1
2025,2025-02-21,11,0.61,277.33,100,0,0,0,1
2025,2025-02-21,12,0.97,277.72,100,0,0,0,1
2025,2025-02-21,13,1.12,278.02,100,0,0,1,1
2025,2025-02-21,14,0.66,277.89,100,0,0,1,1
2025,2025-02-21,15,0.81,278.55,100,0,0,1,1
2025,2025-02-21,16,1.65,277.98,100,0,0,1,1
2025,2025-02-21,17,2.63,278.99,100,0,0,1,1
2025,2025-02-21,18,2.9,278.53,100,0,0,0,1
2025,2025-02-21,19,2.79,277.88,100,0,0,0,1
2025,2025-02-21,20,1.65,277.88,100,0,0,0,1
2025,2025-02-21,21,0.38,277.81,100,0,0,0,1
2025,2025-02-22,11,0.34,279.67,100,0,0,0,1
2025,2025-02-22,12,0.71,280.22,100,0,0,0,1
2025,2025-02-22,13,0.76,282.9,100,0,0,0,1
2025,2025-02-22,14,5.21,279.98,100,0,0,1,1
2025,2025-02-22,15,6.98,282.84,100,0,0,1,1
2025,2025-02-22,16,4.32,279.63,100,0,0,0,1
2025,2025-02-22,17,0.25,280.33,100,0,0,0,1
2025,2025-02-22,18,2.02,280.2,100,0,0,0,1
2025,2025-02-22,19,2.19,280.15,100,0,0,0,1
2025,2025-02-22,20,1.02,279.66,100,0,0,0,1
2025,2025-02-22,21,1.04,280.26,100,0,0,0,1
2025,2025-02-23,11,0.0,282.83,75,0,1,0,0
2025,2025-02-23,12,0.0,284.07,75,0,1,0,0
2025,2025-02-23,13,0.0,285.08,75,0,1,0,0
2025,2025-02-23,14,0.0,284.64,75,0,1,0,0
2025,2025-02-23,15,0.0,284.28,100,0,1,0,0
2025,2025-02-23,16,0.59,283.83,100,0,0,0,1
2025,2025-02-23,17,1.58,280.29,100,0,0,0,1
2025,2025-02-23,18,4.67,280.5,100,0,0,1,1
2025,2025-02-23,19,3.37,280.08,100,0,0,0,1
2025,2025-02-23,20,1.49,280.12,20,0,0,0,1
2025,2025-02-23,21,0.19,279.3,40,0,0,0,1
2025,2025-02-24,11,0.0,280.69,100,0,1,0,0
2025,2025-02-24,12,0.0,282.78,100,0,1,0,0
2025,2025-02-24,13,0.25,283.58,100,0,0,0,1
2025,2025-02-24,14,0.25,282.34,100,0,0,0,1
2025,2025-02-24,15,0.98,278.53,100,0,0,0,1
2025,2025-02-24,16,0.44,277.88,100,0,0,0,1
2025,2025-02-24,17,2.37,276.54,100,0,0,1,1
2025,2025-02-24,18,0.76,277.22,100,0,0,0,1
2025,2025-02-24,19,0.44,277.51,100,0,0,0,1
2025,2025-02-24,20,0.16,278.21,100,0,0,0,1
2025,2025-02-24,21,0.0,278.35,100,0,1,0,0
2025,2025-02-25,11,0.25,278.7,75,0,0,1,1
2025,2025-02-25,12,0.25,279.78,100,0,0,0,1
2025,2025-02-25,13,0.25,281.16,75,0,0,0,1
2025,2025-02-25,14,0.0,281.37,75,0,0,0,1
2025,2025-02-25,15,0.0,281.27,93,0,1,0,0
2025,2025-02-25,16,0.0,279.42,75,0,0,0,1
2025,2025-02-25,17,0.76,279.41,75,0,0,0,1
2025,2025-02-25,18,0.89,278.91,75,0,0,0,1
2025,2025-02-25,19,2.54,278.8,100,0,0,0,1
2025,2025-02-25,20,0.25,278.57,100,0,0,0,1
2025,2025-02-25,21,0.0,278.92,100,0,1,0,0
2025,2025-02-26,11,0.0,282.79,20,0,1,0,0
2025,2025-02-26,12,0.0,284.45,75,0,1,0,0
2025,2025-02-26,13,0.0,285.51,75,0,1,0,0
2025,2025-02-26,14,0.0,285.2,84,0,1,0,0
2025,2025-02-26,15,0.0,284.39,92,0,1,0,0
2025,2025-02-26,16,0.0,284.34,100,0,1,0,0
2025,2025-02-26,17,0.0,283.29,100,0,1,0,0
2025,2025-02-26,18,0.0,282.83,100,0,1,0,0
2025,2025-02-26,19,0.0,282.55,100,0,1,0,0
2025,2025-02-26,20,0.0,280.63,100,0,1,0,0
2025,2025-02-26,21,0.0,279.42,40,0,1,0,0
2025,2025-02-27,11,0.0,282.76,100,0,0,0,1
2025,2025-02-27,12,0.0,283.81,100,0,0,0,1
2025,2025-02-27,13,0.0,285.05,75,0,0,0,1
2025,2025-02-27,14,0.0,284.23,75,0,0,0,1
2025,2025-02-27,15,0.0,283.4,100,0,1,0,0
2025,2025-02-27,16,0.0,283.04,75,0,1,0,0
2025,2025-02-27,17,0.0,283.93,93,0,1,0,0
2025,2025-02-27,18,0.0,280.85,75,0,1,0,0
2025,2025-02-27,19,0.0,281.41,100,0,1,0,0
2025,2025-02-27,20,0.0,282.56,100,0,1,0,0
2025,2025-02-27,21,0.0,280.06,100,0,1,0,0
2025,2025-02-28,11,0.0,285.84,75,0,1,0,0
2025,2025-02-28,12,0.0,286.01,77,0,1,0,0
2025,2025-02-28,13,0.0,286.95,77,0,1,0,0
2025,2025-02-28,14,0.0,286.83,77,0,1,0,0
2025,2025-02-28,15,0.0,286.55,93,0,1,0,0
2025,2025-02-28,16,0.0,285.88,93,0,1,0,0
2025,2025-02-28,17,0.0,284.59,93,0,1,0,0
2025,2025-02-28,18,0.0,283.41,59,0,1,0,0
2025,2025-02-28,19,0.0,282.47,59,0,1,0,0
2025,2025-02-28,20,0.0,282.66,59,0,1,0,0
2025,2025-02-28,21,0.0,281.05,100,0,1,0,0
2025,2025-03-01,11,0.0,286.1,100,0,1,0,0
2025,2025-03-01,12,0.0,285.72,100,0,1,0,0
2025,2025-03-01,13,0.0,286.37,100,0,1,0,0
2025,2025-03-01,14,0.0,286.74,100,0,1,0,0
2025,2025-03-01,15,0.0,286.25,100,0,1,0,0
2025,2025-03-01,16,0.0,285.17,100,0,1,0,0
2025,2025-03-01,17,0.0,284.22,100,0,1,0,0
2025,2025-03-01,18,0.0,282.75,100,0,1,0,0
2025,2025-03-01,19,0.0,282.76,100,0,1,0,0
2025,2025-03-01,20,0.0,281.87,100,0,1,0,0
2025,2025-03-01,21,0.0,281.36,100,0,1,0,0
2025,2025-03-02,11,0.0,283.55,100,0,1,0,0
2025,2025-03-02,12,0.0,283.73,75,0,1,0,0
2025,2025-03-02,13,0.0,284.24,75,0,1,0,0
2025,2025-03-02,14,0.0,284.6,100,0,1,0,0
2025,2025-03-02,15,0.0,283.62,75,0,1,0,0
2025,2025-03-02,16,0.0,283.69,75,0,1,0,0
2025,2025-03-02,17,0.0,282.84,70,0,1,0,0
2025,2025-03-02,18,0.0,279.51,20,0,1,0,0
2025,2025-03-02,19,0.0,278.38,75,0,1,0,0
2025,2025-03-02,20,0.0,277.58,20,0,1,0,0
2025,2025-03-02,21,0.0,277.66,0,1,0,0,0
2025,2025-03-03,11,0.66,281.22,100,0,0,0,1
2025,2025-03-03,12,0.51,282.18,100,0,0,0,1
2025,2025-03-03,13,0.0,282.81,100,0,0,0,1
2025,2025-03-03,14,0.0,282.78,75,0,1,0,0
2025,2025-03-03,15,0.0,282.64,75,0,1,0,0
2025,2025-03-03,16,0.0,282.57,75,0,1,0,0
2025,2025-03-03,17,0.0,282.68,75,0,1,0,0
2025,2025-03-03,18,0.0,280.89,100,0,1,0,0
2025,2025-03-03,19,0.0,281.31,75,0,1,0,0
2025,2025-03-03,20,0.0,280.64,75,0,1,0,0
2025,2025-03-03,21,0.0,279.65,40,0,1,0,0
2025,2025-03-04,11,0.25,282.28,100,0,0,0,1
2025,2025-03-04,12,0.0,280.54,100,0,0,0,1
2025,2025-03-04,13,0.61,278.87,100,0,0,0,1
2025,2025-03-04,14,0.65,277.91,100,0,0,0,1
2025,2025-03-04,15,2.54,277.83,100,0,0,1,1
2025,2025-03-04,16,2.24,277.05,100,0,0,0,1
2025,2025-03-04,17,1.82,276.8,100,0,0,0,1
2025,2025-03-04,18,0.38,277.42,75,0,0,0,1
2025,2025-03-04,19,0.38,277.57,75,0,0,0,1
2025,2025-03-04,20,0.0,277.39,20,0,0,0,1
2025,2025-03-04,21,0.0,276.53,100,0,1,0,0
2025,2025-03-05,11,0.25,278.21,75,0,0,0,1
2025,2025-03-05,12,0.25,280.06,75,0,0,0,1
2025,2025-03-05,13,0.0,282.51,39,0,1,0,0
2025,2025-03-05,14,0.0,281.67,75,0,1,0,0
2025,2025-03-05,15,0.51,282.65,40,0,0,0,1
2025,2025-03-05,16,0.0,282.38,20,0,1,0,0
2025,2025-03-05,17,0.0,280.58,20,0,1,0,0
2025,2025-03-05,18,0.0,278.81,16,0,1,0,0
2025,2025-03-05,19,0.0,277.03,0,1,0,0,0
2025,2025-03-05,20,0.0,275.98,0,1,0,0,0
2025,2025-03-05,21,0.0,276.01,0,1,0,0,0
2025,2025-03-06,11,0.0,279.99,20,0,1,0,0
2025,2025-03-06,12,0.0,282.55,33,0,1,0,0
2025,2025-03-06,13,0.0,283.39,20,0,1,0,0
2025,2025-03-06,14,0.0,284.06,33,0,1,0,0
2025,2025-03-06,15,0.0,284.04,5,1,0,0,0
